publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
La philosophie de Marx	9782707133892	9782707167934							https://www.cairn.info/la-philosophie-de-marx--9782707133892.htm	Balibar	la-philosophie-de-marx--9782707133892		fulltext		La Découverte	monograph	2001	2011				Repères		P	
La réforme des retraites	9782130595489	9782130622611							https://www.cairn.info/la-reforme-des-retraites--9782130595489.htm	Palier	la-reforme-des-retraites--9782130595489		fulltext		Presses Universitaires de France	monograph	2012	2012		4e éd.		Que sais-je ?		P	
La réforme des retraites	9782130565963	9782130601210							https://www.cairn.info/la-reforme-des-retraites--9782130565963.htm	Palier	la-reforme-des-retraites--9782130565963		fulltext		Presses Universitaires de France	monograph	2010	2010		3e éd.		Que sais-je ?		P	
La réforme des retraites	9782130632160	9782130652540							https://www.cairn.info/la-reforme-des-retraites--9782130632160.htm	Palier	la-reforme-des-retraites--9782130632160		fulltext		Presses Universitaires de France	monograph	2014	2014		5e éd.		Que sais-je ?		P	182615367
La télévision	9782707135032	9782707161802							https://www.cairn.info/la-television--9782707135032.htm	Chaniac	la-television--9782707135032		fulltext		La Découverte	monograph	2005	2011				Repères		P	
L'art-thérapie	9782130789413	9782130790464							https://www.cairn.info/art-therapie--9782130789413.htm	Klein	art-therapie--9782130789413		fulltext		Presses Universitaires de France	monograph	2017	2017		10e éd.		Que sais-je ?		P	250376784
Le marche de l'art contemporain	9782707192394	9782707193841							https://www.cairn.info/marche-de-l-art-contemporain--9782707192394.htm	Moureau	marche-de-l-art-contemporain--9782707192394		fulltext		La Découverte	monograph	2016	2016				Repères		P	
Le parfum	9782130575931	9782130735144							https://www.cairn.info/parfum--9782130575931.htm	Ellena	parfum--9782130575931		fulltext		Presses Universitaires de France	monograph	2010	2010		2e éd.		Que sais-je ?		P	191587265
L’économie de la Chine	9782707149336	9782707162359							https://www.cairn.info/l-economie-de-la-chine--9782707149336.htm	Lemoine	l-economie-de-la-chine--9782707149336		fulltext		La Découverte	monograph	2009	2011		4e éd.		Repères		P	
Les enjeux de la mondialisation	9782348042829	9782348045639							https://www.cairn.info/les-enjeux-de-la-mondialisation--9782348042829.htm	Bénassy-Quéré	les-enjeux-de-la-mondialisation--9782348042829		fulltext		La Découverte	monograph	2019	2019		3e éd.		Repères		P	
Les mutations de l’emploi en France	9782707145512	9782707162779							https://www.cairn.info/les-mutations-de-l-emploi-en-france--9782707145512.htm	Institut de recherches économiques et sociales	les-mutations-de-l-emploi-en-france--9782707145512		fulltext		La Découverte	monograph	2005	2011				Repères		P	
Les 100 mots de la génétique	9782130734864	9782130734888							https://www.cairn.info/les-cent-mots-de-la-genetique--9782130734864.htm	Stoppa-Lyonnet	les-cent-mots-de-la-genetique--9782130734864		fulltext		Presses Universitaires de France	monograph	2017	2017				Que sais-je ?		P	250562995
Les 100 mots de Marseille	9782130787976	9782130795766							https://www.cairn.info/les-cent-mots-de-marseille--9782130787976.htm	Laffitte	les-cent-mots-de-marseille--9782130787976		fulltext		Presses Universitaires de France	monograph	2017	2017		2e éd.		Que sais-je ?		P	250649640
Mondialisation et délocalisation des entreprises	9782707169051	9782707169327							https://www.cairn.info/mondialisation-et-delocalisation-des-entreprises--9782707163387.htm	Mouhoud	mondialisation-et-delocalisation-des-entreprises--9782707163387		fulltext		La Découverte	monograph	2011	2012		3e ed.		Repères		P	
Mondialisation et délocalisation des entreprises	9782707176431	9782707177926							https://www.cairn.info/mondialisation-et-delocalisation-des-entreprises--9782707177643.htm	Mouhoud	mondialisation-et-delocalisation-des-entreprises--9782707177643		fulltext		La Découverte	monograph	2013	2014		4e ed.		Repères		P	177316225
Vocabulaire psychologique et psychiatrique	9782130633723	9782130654254							https://www.cairn.info/Vocabulaire-psychologique-et-psychiatrique--9782130633723.htm	Godfryd	Vocabulaire-psychologique-et-psychiatrique--9782130633723		fulltext		Presses Universitaires de France	monograph	2015	2015		8e éd.		Que sais-je ?		P	185917526
