publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Anglais											3900													
Anglais - Perfectionnement											3901													
Espagnol											3902													
Allemand											3903													
Italien											3904													
Russe											3905													
Italien – Perfectionnement											4050													
Portugais du Brésil											4052													
Français											4054													
Anglais d'Amérique											4058													
Allemand – Perfectionnement											4060													
Hongrois											4062													
Ukrainien											4068													
Portugais											4070													
Néerlandais											4072													
Russe – Perfectionnement											4074													
Roumain											4325													
Polonais											4343													
Tchèque											4361													
Danois											4349													
Occitan											4357													
Croate											4066													
Indonésien											4351													
Anglais – Débutants											4540													
Italien – Débutants											4293													
Français pour Espagnois											4625													
Breton											4623													
Catalan											4944													
Espagnol – Perfectionnement											4509													
Latin											4353													
Suédois											4359													
Turque											4064													
Français pour Italiens											4916													
Français pour Russes											4940													
