publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Archives of Dermatology	0003-987X	1538-3652	1998-01-01	134	1	2012-12-01	148	12	http://archderm.jamanetwork.com/		archderm		fulltext		American Medical Association
Archives of Facial Plastic Surgery	1521-2491	1538-3660	1999-01-01	1	1	2012-11-01	14	6	http://archfaci.jamanetwork.com/		archfaci		fulltext		American Medical Association
Archives of General Psychiatry	0003-990X	1538-3636	1998-01-01	55	1	2012-12-01	69	12	http://archpsyc.jamanetwork.com/		archpsyc		fulltext		American Medical Association
Archives of Internal Medicine	0003-9926	1538-3679	1998-01-12	158	1	2012-12-10	172	22	http://archinte.jamanetwork.com/		archinte		fulltext		American Medical Association
Archives of Neurology	0003-9942	1538-3687	1998-01-01	55	1	2012-12-01	69	12	http://archneur.jamanetwork.com/		archneur		fulltext		American Medical Association
Archives of Ophthalmology	0003-9950	1538-3601	1998-01-01	116	1	2012-12-01	130	12	http://archopht.jamanetwork.com/		archopht		fulltext		American Medical Association
Archives of Otolaryngology - Head and Neck Surgery	0886-4470	1538-361X	1998-01-01	124	1	2012-12-01	138	12	http://archotol.jamanetwork.com/		archotol		fulltext		American Medical Association
Archives of Pediatrics and Adolescent Medicine	1072-4710	1538-3628	1998-01-01	152	1	2012-12-01	166	12	http://archpedi.jamanetwork.com/		archpedi		fulltext		American Medical Association
Archives of Surgery	0004-0010	1538-3644	1998-01-01	133	1	2012-12-01	147	12	http://archsurg.jamanetwork.com/		archsurg		fulltext		American Medical Association
JAMA: Journal of the American Medical Association	0098-7484	1538-3598	1998-01-07	279	1				http://jama.jamanetwork.com/		jama		fulltext		American Medical Association
JAMA Cardiology	2380-6583	2380-6591	2016-04-01	1	1				http://cardiology.jamanetwork.com/		jamacardiol		fulltext		American Medical Association
JAMA Dermatology	2168-6068	2168-6084	2013-01-01	149	1				http://archderm.jamanetwork.com/		jamaderm		fulltext		American Medical Association
JAMA Facial Plastic Surgery	2168-6076	2168-6092	2013-02-01	15	1				http://archfaci.jamanetwork.com/		jamafaci		fulltext		American Medical Association
JAMA Internal Medicine	2168-6106	2168-6114	2013-01-01	173	1				http://archinte.jamanetwork.com/		jamainte		fulltext		American Medical Association
JAMA Neurology	2168-6149	2168-6157	2013-01-01	70	1				http://archneur.jamanetwork.com/		jamaneur		fulltext		American Medical Association
JAMA Oncology	2374-2437	2374-2445	2015-04-01	1	1				http://oncology.jamanetwork.com		jamaoncol		fulltext		American Medical Association
JAMA Ophthalmology	2168-6165	2168-6173	2013-01-01	131	1				http://archopht.jamanetwork.com/		jamaopht		fulltext		American Medical Association
JAMA Otolaryngology —  Head and Neck Surgery	2168-6181	2168-619X	2013-01-01	139	1				http://archotol.jamanetwork.com/		jamaotol		fulltext		American Medical Association
JAMA Pediatrics	2168-6203	2168-6211	2013-01-01	167	1				http://archpedi.jamanetwork.com/		jamapedi		fulltext		American Medical Association
JAMA Psychiatry	2168-622X	2168-6238	2013-01-01	70	1				http://archpsyc.jamanetwork.com/		jamapsyc		fulltext		American Medical Association
JAMA Surgery	2168-6254	2168-6262	2013-01-01	148	1				http://archsurg.jamanetwork.com/		jamasurg		fulltext		American Medical Association
